location,time,traps_per_cell,timesd,area,areasd
Melbourne,7.84,21,3.3749075,2757.24,1934.9056
Mildura,1.0,1,0.0,81.0,0.0
Mildura,1.0,2,0.0,81.0,0.0
Mildura,1.0,3,0.0,81.0,0.0
Mildura,1.0,4,0.0,81.0,0.0
Mildura,1.0,5,0.0,81.0,0.0
Mildura,1.0,6,0.0,81.0,0.0
Mildura,1.08,7,0.27688748,136.08,190.99518
Mildura,1.16,8,0.37416574,194.4,265.57626
Mildura,1.36,9,1.036018,207.36,267.70877
Mildura,1.8,10,1.5275252,294.84,313.60706
Mildura,1.76,11,1.8321208,291.6,322.30807
Mildura,2.96,12,2.5245461,395.28,317.45386
Mildura,2.6363637,13,1.8399134,460.22726,306.54526
Mildura,3.826087,14,2.9642134,514.1739,305.63043
Mildura,3.8181818,15,3.1264822,441.81818,317.89377
Mildura,4.695652,16,3.5603216,542.34784,311.2635
Mildura,3.8333333,17,3.535534,436.5,334.70905
Mildura,3.7857144,18,3.445813,364.5,325.16617
Mildura,4.5833335,19,2.9374797,445.5,270.85773
Mildura,3.0,20,2.345208,356.4,300.90164
Mildura,4.428571,21,3.2037067,555.4286,302.83627
Perth,2.0,1,0.0,712.8,33.06811
Perth,2.0,2,0.0,712.8,33.06811
Perth,2.0,3,0.0,712.8,33.06811
Perth,2.0,4,0.0,712.8,33.06811
Perth,2.0,5,0.0,712.8,33.06811
Perth,2.04,6,0.2,738.72,136.98343
Perth,2.0,7,0.0,712.8,33.06811
Perth,2.04,8,0.2,738.72,136.98343
Perth,2.08,9,0.27688748,764.64,187.17836
Perth,2.04,10,0.2,725.76,75.696365
Perth,2.16,11,0.47258157,774.36,179.72754
Perth,2.48,12,1.0847427,861.84,333.87332
Perth,2.52,13,1.0456258,865.08,308.19055
Perth,2.6,14,0.9574271,939.6,367.48776
Perth,3.04,15,1.2069244,1053.0,476.34152
Perth,3.08,16,1.3515424,997.92,391.0715
Perth,4.04,17,2.2075627,1425.6,1052.2208
Perth,5.04,18,2.263478,1811.16,1180.0452
Perth,4.72,19,2.5252063,1775.52,1251.9938
Perth,6.56,20,3.5949037,2912.76,2229.1538
Perth,5.28,21,2.9793735,2054.16,1481.7836
