location,time,traps_per_cell,timesd,area,areasd
Adelaide,1.0,10.0,0.0,81.0,0.0
Adelaide,1.0,7.943282,0.0,81.0,0.0
Adelaide,1.0,6.3095737,0.0,81.0,0.0
Adelaide,1.01,5.0118723,0.1,87.48,64.8
Adelaide,1.02,3.9810717,0.14070529,95.58,102.57416
Adelaide,1.0,3.1622777,0.0,81.0,0.0
Adelaide,1.15,2.5118864,0.35887027,187.11,254.24744
Adelaide,1.13,1.9952623,0.33799767,173.34,240.40065
Adelaide,1.28,1.5848932,0.45126086,279.45,320.3746
Adelaide,1.37,1.2589254,0.4852366,345.87,347.84305
Adelaide,1.4,1.0,0.6030227,340.2,349.96
Adelaide,1.59,0.7943282,0.6830561,453.6,371.2779
Adelaide,1.67,0.63095737,0.65219134,514.35,361.39587
Adelaide,1.82,0.5011872,1.0286796,494.91,419.68915
Adelaide,2.02,0.39810717,0.97421294,632.61,402.2407
Adelaide,2.34,0.31622776,1.5841385,753.3,626.9478
Adelaide,2.71,0.25118864,1.8548054,848.07,677.8369
Adelaide,3.42,0.19952624,2.570933,1138.05,1029.5707
Adelaide,4.09,0.15848932,3.120784,1392.39,1216.6459
Adelaide,4.79,0.12589253,3.5112948,1651.59,1550.8993
Adelaide,6.26,0.1,4.9043784,2387.88,2370.7358
Brisbane,2.52,10.0,0.521846,703.89,102.77748
Brisbane,2.62,7.943282,0.48783174,682.02,99.15756
Brisbane,2.74,6.3095737,0.48450744,672.3,103.29525
Brisbane,2.8,5.0118723,0.531816,682.02,120.84642
Brisbane,2.93,3.9810717,0.65528154,716.04,198.98236
Brisbane,2.96,3.1622777,0.6804633,704.7,198.5756
Brisbane,3.08,2.5118864,0.67689127,719.28,217.30922
Brisbane,3.15,1.9952623,0.7436601,744.39,250.83594
Brisbane,3.33,1.5848932,0.86520857,812.43,348.71835
Brisbane,3.59,1.2589254,0.9438263,901.53,430.41006
Brisbane,3.98,1.0,1.0247444,1074.06,486.62958
Brisbane,3.87,0.7943282,1.1340016,1027.89,547.76135
Brisbane,4.02,0.63095737,1.0539008,1114.56,514.3701
Brisbane,4.24,0.5011872,1.1901957,1239.3,642.402
Brisbane,4.67,0.39810717,1.2148492,1489.59,827.7159
