location,time,traps_per_cell,timesd,area,areasd
Brisbane,4.79,0.31622776,1.4515405,1615.14,917.8426
Brisbane,5.45,0.25118864,1.7019004,2203.2,1625.7987
Brisbane,5.89,0.19952624,1.8306868,2547.45,1629.3158
Brisbane,6.1,0.15848932,2.0025237,2837.43,1890.5419
Brisbane,6.23,0.12589253,2.0639033,3037.5,2111.6096
Brisbane,6.66,0.1,2.305987,3700.89,2751.4648
Cairns,3.0,10.0,0.0,1028.7,37.305862
Cairns,3.0,7.943282,0.0,1028.7,37.305862
Cairns,3.0,6.3095737,0.0,1028.7,37.305862
Cairns,3.01,5.0118723,0.1,1036.8,91.380325
Cairns,3.02,3.9810717,0.14070529,1045.71,123.51243
Cairns,3.03,3.1622777,0.1714466,1053.0,133.76709
Cairns,3.08,2.5118864,0.27265993,1090.26,211.79243
Cairns,3.14,1.9952623,0.3487351,1142.1,288.62573
Cairns,3.16,1.5848932,0.3949172,1155.87,319.8529
Cairns,3.23,1.2589254,0.46828723,1213.38,385.1178
Cairns,3.38,1.0,0.63213605,1351.08,554.3979
Cairns,3.45,0.7943282,0.6092718,1408.59,540.723
Cairns,3.69,0.63095737,0.74799395,1637.82,737.593
Cairns,3.81,0.5011872,0.6771151,1716.39,621.3409
Cairns,3.93,0.39810717,0.91292626,1891.35,940.1398
Cairns,4.11,0.31622776,0.8977525,2082.51,976.1703
Cairns,4.5,0.25118864,0.94815075,2506.95,1072.4489
Cairns,4.56,0.19952624,1.0378689,2624.4,1263.1636
Cairns,4.64,0.15848932,1.2911509,2923.29,2216.0972
Cairns,5.03,0.12589253,1.2906423,3400.38,2000.3198
Cairns,5.18,0.1,1.2258166,3510.54,1901.3696
Devonport,1.0,10.0,0.0,81.0,0.0
Devonport,1.0,7.943282,0.0,81.0,0.0
Devonport,1.0,6.3095737,0.0,81.0,0.0
Devonport,1.0,5.0118723,0.0,81.0,0.0
Devonport,1.03,3.9810717,0.1714466,93.15,69.435875
Devonport,1.05,3.1622777,0.21904291,101.25,88.71238
Devonport,1.06,2.5118864,0.23868325,105.3,96.66672
Devonport,1.11,1.9952623,0.31446603,125.55,127.35874
Devonport,1.23,1.5848932,0.4229526,174.15,171.29579
Devonport,1.34,1.2589254,0.47609523,218.7,192.81857
Devonport,1.41,1.0,0.5336174,245.43,211.49025
Devonport,1.47,0.7943282,0.54038894,268.92,212.5608
Devonport,1.67,0.63095737,0.71145034,344.25,254.68497
Devonport,1.77,0.5011872,0.8270063,381.51,300.06244
Devonport,2.05,0.39810717,1.0859525,484.38,402.45236
Devonport,2.19,0.31622776,1.2688577,537.84,463.74307
Devonport,2.24,0.25118864,1.3113337,556.47,504.422
Devonport,2.98,0.19952624,2.3909762,897.48,1189.9888
Devonport,3.22,0.15848932,2.3723152,919.35,913.32263
Devonport,3.92,0.12589253,2.9803395,1235.25,1303.7178
Devonport,4.63,0.1,3.466011,1572.21,1643.8824
Melbourne,4.54,10.0,2.213001,1025.46,386.87592
Melbourne,4.64,7.943282,2.5166917,1078.92,424.70984
Melbourne,4.74,6.3095737,2.3894548,1059.48,433.78812
Melbourne,5.02,5.0118723,2.566214,1116.99,483.03116
Melbourne,4.96,3.9810717,2.4656017,1087.02,473.4535
Melbourne,5.26,3.1622777,2.603882,1152.63,534.8027
Melbourne,5.65,2.5118864,2.7938426,1237.68,577.8344
Melbourne,5.87,1.9952623,2.6992517,1291.95,582.7788
Melbourne,5.84,1.5848932,2.7513816,1277.37,611.6834
Melbourne,6.19,1.2589254,2.688152,1343.79,620.85004
Melbourne,6.72,1.0,2.7231889,1511.46,712.60846
Melbourne,6.69,0.7943282,2.669298,1510.65,651.3027
Melbourne,7.56,0.63095737,2.731485,1804.68,755.83167
Melbourne,7.85,0.5011872,2.931456,1989.36,986.9747
Melbourne,8.03,0.39810717,2.622571,2007.18,948.78503
Melbourne,8.29,0.31622776,2.833048,2229.93,1165.0432
Melbourne,8.98,0.25118864,2.5385115,2515.05,1281.5695
Melbourne,9.23,0.19952624,2.673684,2731.32,1379.336
Melbourne,9.59,0.15848932,2.621184,3056.94,1519.6781
Melbourne,10.47,0.12589253,2.6985033,3529.98,1839.2523
Melbourne,11.18,0.1,2.157346,4081.59,1919.2249
Mildura,1.0,10.0,0.0,81.0,0.0
Mildura,1.0,7.943282,0.0,81.0,0.0
Mildura,1.0,6.3095737,0.0,81.0,0.0
Mildura,1.01,5.0118723,0.1,87.48,64.8
Mildura,1.0,3.9810717,0.0,81.0,0.0
Mildura,1.0208334,3.1622777,0.14357589,94.5,93.03718
Mildura,1.0104166,2.5118864,0.10206208,87.75,66.13622
Mildura,1.0561798,1.9952623,0.23157321,117.404495,150.05943
Mildura,1.0111111,1.5848932,0.10540926,88.2,68.3052
Mildura,1.0526316,1.2589254,0.27783626,102.31579,110.16669
Mildura,1.0625,1.0,0.24397501,121.5,158.09581
Mildura,1.0151515,0.7943282,0.12309149,90.818184,79.76328
Mildura,1.018868,0.63095737,0.13736056,93.22642,89.00964
Mildura,1.0454545,0.5011872,0.21070705,110.454544,136.53818
Mildura,1.12,0.39810717,0.33166248,158.76,214.91728
Mildura,1.1875,0.31622776,0.39655778,202.5,256.96942
Mildura,1.1034483,0.25118864,0.30993405,148.03448,200.83727
Mildura,1.0588236,0.19952624,0.24253562,119.117645,157.16309
Mildura,1.0,0.15848932,0.0,81.0,0.0
Mildura,1.117647,0.12589253,0.33210558,157.23529,215.20442
Mildura,1.0,0.1,0.0,81.0,0.0
Perth,2.0,10.0,0.0,729.0,0.0
Perth,2.0,7.943282,0.0,729.0,0.0
Perth,2.0,6.3095737,0.0,729.0,0.0
Perth,2.0,5.0118723,0.0,729.0,0.0
Perth,2.0,3.9810717,0.0,729.0,0.0
Perth,2.01,3.1622777,0.1,729.81,8.1
Perth,2.1,2.5118864,0.4143877,729.81,14.07677
Perth,2.08,1.9952623,0.39389277,729.0,0.0
Perth,2.27,1.5848932,0.6794977,740.34,50.209705
Perth,2.41,1.2589254,0.8887058,763.83,123.59824
Perth,2.65,1.0,1.1135075,792.99,189.97754
Perth,2.79,0.7943282,1.2168431,802.71,201.75244
Perth,3.01,0.63095737,1.3295021,835.11,280.52017
Perth,3.58,0.5011872,1.7762746,942.84,421.67804
Perth,3.63,0.39810717,1.7271159,967.95,428.05084
Perth,4.46,0.31622776,2.2715633,1193.13,680.70526
Perth,4.52,0.25118864,2.4678948,1272.51,824.94086
Perth,5.08,0.19952624,2.6079907,1415.88,924.9389
Perth,5.67,0.15848932,2.9985013,1670.22,1307.4438
Perth,6.76,0.12589253,3.4145262,2118.15,1721.0587
Perth,6.85,0.1,3.494223,2140.83,1746.5874
