location,time,traps_per_cell,timesd,area,areasd
Melbourne,12.67,1.9952623,1.608406,1415.07,403.1886
Melbourne,12.85,1.5848932,1.7371461,1470.15,490.25974
Melbourne,13.3,1.2589254,1.755223,1627.29,605.28357
Melbourne,13.28,1.0,1.9231708,1622.43,778.7527
Melbourne,13.53,0.7943282,1.8987236,1751.22,750.87897
Melbourne,13.55,0.63095737,2.0664468,1719.63,823.2972
Melbourne,14.13,0.5011872,2.1772702,1981.26,931.57434
Melbourne,14.27,0.39810717,1.9992676,2011.23,818.7122
Melbourne,14.76,0.31622776,2.2923677,2280.15,1270.0375
Melbourne,15.21,0.25118864,2.7202756,2577.42,1618.2555
Melbourne,15.67,0.19952624,2.391293,2800.98,1436.1167
Melbourne,16.01,0.15848932,2.8972123,3066.66,1806.9663
Melbourne,16.64,0.12589253,3.0501533,3483.0,1924.4701
Melbourne,16.87,0.1,3.3534393,3780.27,2523.7302
Mildura,1.0,10.0,0.0,81.0,0.0
Mildura,1.0,7.943282,0.0,81.0,0.0
Mildura,1.0,6.3095737,0.0,81.0,0.0
Mildura,1.0,5.0118723,0.0,81.0,0.0
Mildura,1.0,3.9810717,0.0,81.0,0.0
Mildura,1.0,3.1622777,0.0,81.0,0.0
Mildura,1.0,2.5118864,0.0,81.0,0.0
Mildura,1.0,1.9952623,0.0,81.0,0.0
Mildura,1.0,1.5848932,0.0,81.0,0.0
Mildura,1.0,1.2589254,0.0,81.0,0.0
Mildura,1.0,1.0,0.0,81.0,0.0
Mildura,1.0,0.7943282,0.0,81.0,0.0
Mildura,1.0,0.63095737,0.0,81.0,0.0
Mildura,1.0,0.5011872,0.0,81.0,0.0
Mildura,1.0294118,0.39810717,0.17149858,90.52941,55.56554
Mildura,1.0,0.31622776,0.0,81.0,0.0
Mildura,1.0,0.25118864,0.0,81.0,0.0
Mildura,1.0,0.19952624,0.0,81.0,0.0
Mildura,1.0909091,0.15848932,0.30151135,110.454544,97.689674
Mildura,1.0,0.12589253,0.0,81.0,0.0
Mildura,1.0,0.1,0.0,81.0,0.0
Perth,2.78,10.0,1.0785325,269.73,71.02125
Perth,2.91,7.943282,1.1642399,264.06,79.44693
Perth,3.44,6.3095737,1.2416997,231.66,80.606316
Perth,3.37,5.0118723,1.2922066,238.95,81.712776
Perth,3.67,3.9810717,1.3710941,243.81,100.692924
Perth,4.01,3.1622777,1.480479,248.67,121.434525
Perth,4.01,2.5118864,1.5075232,252.72,127.3093
Perth,4.63,1.9952623,1.7503535,300.51,175.09169
Perth,5.34,1.5848932,1.9551538,347.49,228.31877
Perth,5.61,1.2589254,1.9893403,362.07,277.3746
Perth,5.7,1.0,2.129637,400.14,254.80074
Perth,6.81,0.7943282,2.163494,543.51,297.8456
Perth,6.6,0.63095737,2.3655782,532.98,354.88315
Perth,6.93,0.5011872,2.535625,588.06,355.52496
Perth,7.48,0.39810717,2.6341963,675.54,428.80032
Perth,7.71,0.31622776,2.9173636,747.63,591.8601
Perth,8.93,0.25118864,3.2914183,990.63,772.37805
Perth,9.3,0.19952624,3.5118847,1112.13,922.3828
Perth,10.46,0.15848932,3.3916714,1419.12,1079.6613
Perth,11.39,0.12589253,4.4356112,1868.67,1765.908
Perth,11.32,0.1,4.2589893,1716.39,1519.1144
