X,Y
-97.454614,27.58738
-97.222671,27.620554
-97.648689,30.411755
-97.305704,30.311941
-97.328801,27.669265
-105.780798,22.82643
73.81,23.45
-97.329174,27.669241
-98.446118,29.317143
-97.221667,27.601411
-97.662637,30.627855
-97.328887,27.669208
-82.467407,27.423673
74.27,23.33
-106.442705,23.299501
-106.442842,23.298842
25.980628,-24.559029
-106.442619,23.298595
-106.442885,23.296851
-106.442885,23.296851
-97.285414,27.668972
-97.670566,27.860017
-98.188562,26.286867
-102.954363,29.17932
-103.930797,30.597135
-98.622983,31.269707
-97.758536,30.417972
-97.285571,27.668736
-97.285469,27.66888
-95.619349,29.166446
-97.285336,27.66908
-94.958241,29.424651
-94.958236,29.42467
-97.387239,28.656613
-94.958228,29.424578
-98.08012,30.203994
-97.758536,30.417972
-86.871655,32.788461
-98.493632,19.517673
-96.848781,32.75357
-99.753143,29.427741
-99.753148,29.427732
-86.458877,34.588146
-97.11474,32.905899
-97.575611,29.619999
-82.28469,34.901257
-102.946133,21.149936
-102.949384,21.149234
-102.949384,21.149234
-102.949384,21.149234
-87.484629,33.262504
-87.484444,33.262222
-103.825737,20.368141
103.843535,1.416443
-94.958171,29.424705
-99.410671,28.299205
-90.008918,32.336755
-97.648729,30.411801
-94.958358,29.424392
-95.42,29.043
-97.7225,30.3575
-95.365927,34.025845
-93.226509,31.041178
-73.701622,43.295762
-98.08012,30.203994
-73.991847,40.653602
-73.995046,40.649326
-97.758536,30.417972
-84.344037,30.410487
-103.535905,20.732546
-95.601074,29.748981
-95.42,29.043
-97.67056,27.860013
-79.416788,43.670992
-76.77639,39.07092
-95.913488,29.665765
120.682948,23.456003
-73.16734,44.015337
-97.285572,27.668637
-97.285203,27.669071
-97.285328,27.66903
-97.454473,27.587568
-97.031362,28.808533
-97.285334,27.669014
-76.77639,39.07092
-97.437622,27.57204
-77.279512,38.917287
-86.700996,34.714965
-97.285539,27.668689
-79.416842,43.671063
-96.629313,32.327784
-76.758202,42.443508
-76.758202,42.443508
-76.487616,44.234796
-96.685706,32.857083
-98.248142,31.634641
-98.08012,30.203994
-95.601074,29.748981
-69.952879,47.757788
-95.765534,29.806641
-96.685767,32.857025
-73.408546,41.577043
-75.336923,39.98606
-104.652174,38.771284
-101.937484,33.400884
-76.758202,42.443508
-97.64874,30.411821
-97.648707,30.41183
-97.14959,33.622691
-73.994205,40.649501
-73.995217,40.649421
-78.69106,44.590915
-91.396428,45.928632
-79.769342,43.689487
-78.69106,44.590915
-95.445245,30.808726
-73.16734,44.015337
-100.429008,25.764095
-80.456573,42.576232
-83.076067,42.245604
-76.140449,43.033659
-97.305107,30.837439
-98.623549,31.269769
-98.623363,31.269709
-98.623431,31.269881
-95.65,29.682
-76.771764,39.077723
-72.525534,43.132281
-76.139483,43.033614
-99.499336,30.109295
-96.980287,30.850503
-97.222718,27.620578
-94.958193,29.424721
-98.623256,31.269903
-86.683323,33.688991
-97.305111,30.837437
-94.95822,29.424745
-96.775551,30.082985
-95.42,29.043
-97.222733,27.620561
-95.601074,29.748981
-97.22272,27.620569
-100.691078,20.193615
-97.371702,27.646798
-97.32921,27.669293
-76.388336,44.141577
-94.958226,29.424666
-104.027408,20.543597
-95.601074,29.748981
-95.42,29.043
-97.285318,27.669048
-95.100052,29.416281
-95.601074,29.748981
-95.115173,29.566736
-95.601074,29.748981
-95.601074,29.748981
-97.670632,27.860029
-95.601074,29.748981
-95.402253,29.7194
-95.601074,29.748981
-97.670728,27.860042
-97.758536,30.417972
-95.601074,29.748981
-96.685754,32.857029
-97.22272,27.620572
-96.8014,28.310547
-97.285402,27.668905
-97.328265,28.243793
-96.867178,28.342756
-97.222712,27.620573
-97.222708,27.620579
-97.374776,32.578835
-95.166255,29.958467
-97.389097,28.655952
-97.285402,27.66891
-97.285326,27.669032
-97.222705,27.620585
-97.877677,28.066062
-100.514067,21.295522
-97.267512,30.256732
-87.471161,36.026978
-97.268026,30.255490000000002
-97.384367,30.350108
-97.648729,30.411801
-80.634125,43.441003
-97.547129,30.35052
-94.686378,29.752496
